Product,Reactant,Rxn
CC1=CC=CC2=[N+]1C=CC=C2,CC1=[N+]2CCC=CC2=CC=C1.[O-]C1=C(C=C(C=C1N(=O)=O)N(=O)=O)N(=O)=O,CC1=[N+]2CCC=CC2=CC=C1.[O-]C1=C(C=C(C=C1N(=O)=O)N(=O)=O)N(=O)=O>>CC1=CC=CC2=[N+]1C=CC=C2
[O-]C1=C(C=C(C=C1N(=O)=O)N(=O)=O)N(=O)=O,CC1=[N+]2CCC=CC2=CC=C1.[O-]C1=C(C=C(C=C1N(=O)=O)N(=O)=O)N(=O)=O,CC1=[N+]2CCC=CC2=CC=C1.[O-]C1=C(C=C(C=C1N(=O)=O)N(=O)=O)N(=O)=O>>[O-]C1=C(C=C(C=C1N(=O)=O)N(=O)=O)N(=O)=O
[O-]C1=C(C=C(C=C1N(=O)=O)N(=O)=O)N(=O)=O,BrCC1=C(CBr)C=C2OCCOCCOCCOCCOC2=C1,BrCC1=C(CBr)C=C2OCCOCCOCCOCCOC2=C1>>[O-]C1=C(C=C(C=C1N(=O)=O)N(=O)=O)N(=O)=O
O=N(=O)C1=NC=CC=C1OCC1=C(COC2=CC=CN=C2N(=O)=O)C=C2[O]3CC[O]4CC[O]5CC[O]6CC[O](C2=C1)[Na+]3456,BrCC1=C(CBr)C=C2OCCOCCOCCOCCOC2=C1,BrCC1=C(CBr)C=C2OCCOCCOCCOCCOC2=C1>>O=N(=O)C1=NC=CC=C1OCC1=C(COC2=CC=CN=C2N(=O)=O)C=C2[O]3CC[O]4CC[O]5CC[O]6CC[O](C2=C1)[Na+]3456
CC1=C(C=C(C=C1N(=O)=O)N(=O)=O)N(=O)=O,CC1=C(C=CC=C1)N(=O)=O.CC1=C(C=CC=C1)N(=O)=O.CC1=C(C=CC=C1)N(=O)=O,CC1=C(C=CC=C1)N(=O)=O.CC1=C(C=CC=C1)N(=O)=O.CC1=C(C=CC=C1)N(=O)=O>>CC1=C(C=C(C=C1N(=O)=O)N(=O)=O)N(=O)=O
CC1=CC=C(C=C1N(=O)=O)N(=O)=O,CC1=C(C=CC=C1)N(=O)=O.CC1=C(C=CC=C1)N(=O)=O.CC1=C(C=CC=C1)N(=O)=O,CC1=C(C=CC=C1)N(=O)=O.CC1=C(C=CC=C1)N(=O)=O.CC1=C(C=CC=C1)N(=O)=O>>CC1=CC=C(C=C1N(=O)=O)N(=O)=O
CC1=C(C=CC=C1N(=O)=O)N(=O)=O,CC1=C(C=CC=C1)N(=O)=O.CC1=C(C=CC=C1)N(=O)=O.CC1=C(C=CC=C1)N(=O)=O,CC1=C(C=CC=C1)N(=O)=O.CC1=C(C=CC=C1)N(=O)=O.CC1=C(C=CC=C1)N(=O)=O>>CC1=C(C=CC=C1N(=O)=O)N(=O)=O
OC1=C(C=C(C=C1N(=O)=O)N(=O)=O)N(=O)=O,Cl[H].[H][C@](C)(CC)[C@]([H])(N)C(=O)N[C@@]([H])(CO)C(=O)N[C@@]([H])(CC(C)C)C(=O)OC(C)(C)C,Cl[H].[H][C@](C)(CC)[C@]([H])(N)C(=O)N[C@@]([H])(CO)C(=O)N[C@@]([H])(CC(C)C)C(=O)OC(C)(C)C>>OC1=C(C=C(C=C1N(=O)=O)N(=O)=O)N(=O)=O
[H][C@](C)(CC)[C@]1([H])NC(=O)[C@@]([H])(N)CSC[C@]([H])(NC(=O)[C@]([H])(CC(C)C)NC(=O)[C@]([H])(CO)NC1=O)C(=O)OC,Cl[H].[H][C@](C)(CC)[C@]([H])(N)C(=O)N[C@@]([H])(CO)C(=O)N[C@@]([H])(CC(C)C)C(=O)OC(C)(C)C,Cl[H].[H][C@](C)(CC)[C@]([H])(N)C(=O)N[C@@]([H])(CO)C(=O)N[C@@]([H])(CC(C)C)C(=O)OC(C)(C)C>>[H][C@](C)(CC)[C@]1([H])NC(=O)[C@@]([H])(N)CSC[C@]([H])(NC(=O)[C@]([H])(CC(C)C)NC(=O)[C@]([H])(CO)NC1=O)C(=O)OC
NCCC1=CC(O)=C(O)C=C1,NCCC1=CC(O)=C(O)C=C1.OC1=C(C=C(C=C1N(=O)=O)N(=O)=O)N(=O)=O.C1COCCN2CCOCCOCCN(CCO1)CC1=CC=C(C=C1)C1=CC=C(CN3CCOCCOCCN(CCOCCOCC3)CC3=CC=C(C=C3)C3=CC=C(C2)C=C3)C=C1,NCCC1=CC(O)=C(O)C=C1.OC1=C(C=C(C=C1N(=O)=O)N(=O)=O)N(=O)=O.C1COCCN2CCOCCOCCN(CCO1)CC1=CC=C(C=C1)C1=CC=C(CN3CCOCCOCCN(CCOCCOCC3)CC3=CC=C(C=C3)C3=CC=C(C2)C=C3)C=C1>>NCCC1=CC(O)=C(O)C=C1
OC1=C(C=C(C=C1N(=O)=O)N(=O)=O)N(=O)=O,NCCC1=CC(O)=C(O)C=C1.OC1=C(C=C(C=C1N(=O)=O)N(=O)=O)N(=O)=O.C1COCCN2CCOCCOCCN(CCO1)CC1=CC=C(C=C1)C1=CC=C(CN3CCOCCOCCN(CCOCCOCC3)CC3=CC=C(C=C3)C3=CC=C(C2)C=C3)C=C1,NCCC1=CC(O)=C(O)C=C1.OC1=C(C=C(C=C1N(=O)=O)N(=O)=O)N(=O)=O.C1COCCN2CCOCCOCCN(CCO1)CC1=CC=C(C=C1)C1=CC=C(CN3CCOCCOCCN(CCOCCOCC3)CC3=CC=C(C=C3)C3=CC=C(C2)C=C3)C=C1>>OC1=C(C=C(C=C1N(=O)=O)N(=O)=O)N(=O)=O
C1COCCN2CCOCCOCCN(CCO1)CC1=CC=C(C=C1)C1=CC=C(CN3CCOCCOCCN(CCOCCOCC3)CC3=CC=C(C=C3)C3=CC=C(C2)C=C3)C=C1,NCCC1=CC(O)=C(O)C=C1.OC1=C(C=C(C=C1N(=O)=O)N(=O)=O)N(=O)=O.C1COCCN2CCOCCOCCN(CCO1)CC1=CC=C(C=C1)C1=CC=C(CN3CCOCCOCCN(CCOCCOCC3)CC3=CC=C(C=C3)C3=CC=C(C2)C=C3)C=C1,NCCC1=CC(O)=C(O)C=C1.OC1=C(C=C(C=C1N(=O)=O)N(=O)=O)N(=O)=O.C1COCCN2CCOCCOCCN(CCO1)CC1=CC=C(C=C1)C1=CC=C(CN3CCOCCOCCN(CCOCCOCC3)CC3=CC=C(C=C3)C3=CC=C(C2)C=C3)C=C1>>C1COCCN2CCOCCOCCN(CCO1)CC1=CC=C(C=C1)C1=CC=C(CN3CCOCCOCCN(CCOCCOCC3)CC3=CC=C(C=C3)C3=CC=C(C2)C=C3)C=C1
Br[Al](Br)Br,Br[Al](Br)Br.O=N(=O)C1=CC=CC=C1.[Li].Br,Br[Al](Br)Br.O=N(=O)C1=CC=CC=C1.[Li].Br>>Br[Al](Br)Br
O=N(=O)C1=CC=CC=C1,Br[Al](Br)Br.O=N(=O)C1=CC=CC=C1.[Li].Br,Br[Al](Br)Br.O=N(=O)C1=CC=CC=C1.[Li].Br>>O=N(=O)C1=CC=CC=C1
[O-]N(=O)=O,[H]O[H].ON=O.NC1=CC=CC=C1,[H]O[H].ON=O.NC1=CC=CC=C1>>[O-]N(=O)=O
N#[N+]C1=CC=CC=C1,[H]O[H].ON=O.NC1=CC=CC=C1,[H]O[H].ON=O.NC1=CC=CC=C1>>N#[N+]C1=CC=CC=C1
[O-]C1=C(C=C(C=C1N(=O)=O)N(=O)=O)N(=O)=O,CC([O-])=O.CC1=[N]2CC[N]3=C(C)C=C(O[Co+]23([NH2]C2=CC=CC(Cl)=C2)([NH2]C2=CC=CC(Cl)=C2)OC(=C1)C1=CC=CC=C1)C1=CC=CC=C1.OC1=C(C=C(C=C1N(=O)=O)N(=O)=O)N(=O)=O,CC([O-])=O.CC1=[N]2CC[N]3=C(C)C=C(O[Co+]23([NH2]C2=CC=CC(Cl)=C2)([NH2]C2=CC=CC(Cl)=C2)OC(=C1)C1=CC=CC=C1)C1=CC=CC=C1.OC1=C(C=C(C=C1N(=O)=O)N(=O)=O)N(=O)=O>>[O-]C1=C(C=C(C=C1N(=O)=O)N(=O)=O)N(=O)=O
CC1=[N]2CC[N]3=C(C)C=C(O[Co+]23([NH2]C2=CC=CC(Cl)=C2)([NH2]C2=CC=CC(Cl)=C2)OC(=C1)C1=CC=CC=C1)C1=CC=CC=C1,CC([O-])=O.CC1=[N]2CC[N]3=C(C)C=C(O[Co+]23([NH2]C2=CC=CC(Cl)=C2)([NH2]C2=CC=CC(Cl)=C2)OC(=C1)C1=CC=CC=C1)C1=CC=CC=C1.OC1=C(C=C(C=C1N(=O)=O)N(=O)=O)N(=O)=O,CC([O-])=O.CC1=[N]2CC[N]3=C(C)C=C(O[Co+]23([NH2]C2=CC=CC(Cl)=C2)([NH2]C2=CC=CC(Cl)=C2)OC(=C1)C1=CC=CC=C1)C1=CC=CC=C1.OC1=C(C=C(C=C1N(=O)=O)N(=O)=O)N(=O)=O>>CC1=[N]2CC[N]3=C(C)C=C(O[Co+]23([NH2]C2=CC=CC(Cl)=C2)([NH2]C2=CC=CC(Cl)=C2)OC(=C1)C1=CC=CC=C1)C1=CC=CC=C1
OC1=C(C=C(C=C1N(=O)=O)N(=O)=O)N(=O)=O,[H]O[H].O=C1NC2=CC=CC=C2C1=O,[H]O[H].O=C1NC2=CC=CC=C2C1=O>>OC1=C(C=C(C=C1N(=O)=O)N(=O)=O)N(=O)=O
COC1=CC=C2CCNCC2=C1,COC1=CC=C(CCNS(=O)(=O)CC2=CC=C(Cl)C(Cl)=C2)C=C1,COC1=CC=C(CCNS(=O)(=O)CC2=CC=C(Cl)C(Cl)=C2)C=C1>>COC1=CC=C2CCNCC2=C1
OC1=C(C=C(C=C1N(=O)=O)N(=O)=O)N(=O)=O,COC1=CC=C(CCNS(=O)(=O)CC2=CC=C(Cl)C(Cl)=C2)C=C1,COC1=CC=C(CCNS(=O)(=O)CC2=CC=C(Cl)C(Cl)=C2)C=C1>>OC1=C(C=C(C=C1N(=O)=O)N(=O)=O)N(=O)=O
[O-]C1=C(C=C(C=C1N(=O)=O)N(=O)=O)N(=O)=O,OCNC(=O)C1=C(OCC(COC2=C(C=CC=C2)C(=O)NCO)(COC2=C(C=CC=C2)C(=O)NCO)COC2=C(C=CC=C2)C(=O)NCO)C=CC=C1.[La+3].[O-]C1=C(C=C(C=C1N(=O)=O)N(=O)=O)N(=O)=O,OCNC(=O)C1=C(OCC(COC2=C(C=CC=C2)C(=O)NCO)(COC2=C(C=CC=C2)C(=O)NCO)COC2=C(C=CC=C2)C(=O)NCO)C=CC=C1.[La+3].[O-]C1=C(C=C(C=C1N(=O)=O)N(=O)=O)N(=O)=O>>[O-]C1=C(C=C(C=C1N(=O)=O)N(=O)=O)N(=O)=O
