nohup: ignoring input
Starting......
total length:  5000
( 1  /  5000 )...... Spent time: 74.09091472625732
0 %,  mean_accuracy: [0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
( 2  /  5000 )...... Spent time: 6.220703840255737
( 3  /  5000 )...... Spent time: 4.646592140197754
( 4  /  5000 )...... Spent time: 4.5655810832977295
( 5  /  5000 )...... Spent time: 6.681416988372803
( 6  /  5000 )...... Spent time: 5.242707014083862
( 7  /  5000 )...... Spent time: 5.206322908401489
( 8  /  5000 )...... Spent time: 6.3092803955078125
( 9  /  5000 )...... Spent time: 5.85365891456604
( 10  /  5000 )...... Spent time: 6.049866437911987
( 11  /  5000 )...... Spent time: 6.216466903686523
( 12  /  5000 )...... Spent time: 7.617443323135376
( 13  /  5000 )...... Spent time: 6.153457164764404
( 14  /  5000 )...... Spent time: 6.393557786941528
( 15  /  5000 )...... Spent time: 5.36682915687561
( 16  /  5000 )...... Spent time: 8.620810747146606
( 17  /  5000 )...... Spent time: 6.671694278717041
( 18  /  5000 )...... Spent time: 5.881659507751465
( 19  /  5000 )...... Spent time: 7.101083040237427
( 20  /  5000 )...... Spent time: 4.182873487472534
( 21  /  5000 )...... Spent time: 7.732414484024048
( 22  /  5000 )...... Spent time: 8.739195823669434
( 23  /  5000 )...... Spent time: 7.226010799407959
( 24  /  5000 )...... Spent time: 4.698504447937012
( 25  /  5000 )...... Spent time: 4.175661563873291
( 26  /  5000 )...... Spent time: 7.756614923477173
( 27  /  5000 )...... Spent time: 5.057739734649658
( 28  /  5000 )...... Spent time: 8.20922040939331
( 29  /  5000 )...... Spent time: 6.057394504547119
( 30  /  5000 )...... Spent time: 5.383360862731934
( 31  /  5000 )...... Spent time: 4.217865228652954
( 32  /  5000 )...... Spent time: 8.412036180496216
( 33  /  5000 )...... Spent time: 5.938606262207031
( 34  /  5000 )...... Spent time: 5.560897588729858
( 35  /  5000 )...... Spent time: 7.688247203826904
( 36  /  5000 )...... Spent time: 4.965667009353638
( 37  /  5000 )...... Spent time: 5.023690462112427
( 38  /  5000 )...... Spent time: 4.226670980453491
( 39  /  5000 )...... Spent time: 8.238877058029175
( 40  /  5000 )...... Spent time: 5.708937406539917
